iter	Passed	Remaining
0	8	2482
1	12	1759
2	16	1550
3	20	1435
4	25	1387
5	29	1361
6	34	1343
7	39	1322
8	42	1280
9	46	1261
10	51	1245
11	55	1236
12	59	1217
13	63	1203
14	68	1203
15	72	1198
16	77	1187
17	81	1179
18	85	1174
19	90	1170
20	94	1161
21	98	1150
22	102	1146
23	107	1138
24	111	1133
25	115	1125
26	120	1123
27	124	1116
28	128	1110
29	133	1104
30	136	1093
31	140	1086
32	145	1081
33	149	1076
34	153	1070
35	158	1067
36	162	1061
37	166	1058
38	171	1057
39	175	1051
40	180	1045
41	184	1042
42	189	1037
43	192	1029
44	196	1022
45	200	1016
46	204	1011
47	209	1007
48	213	1001
49	217	998
50	222	993
51	226	988
52	230	982
53	234	976
54	238	972
55	242	967
56	246	961
57	251	956
58	255	952
59	259	948
60	264	943
61	268	939
62	272	934
63	276	930
64	280	925
65	285	920
66	289	916
67	293	910
68	297	906
69	302	902
70	306	898
71	310	893
72	315	889
73	319	885
74	324	882
75	329	878
76	333	875
77	338	871
78	342	868
79	347	863
80	351	859
81	355	854
82	359	849
83	364	845
84	367	839
85	372	835
86	376	830
87	381	827
88	385	823
89	389	818
90	393	813
91	398	809
92	402	805
93	406	800
94	410	795
95	415	791
96	419	787
97	423	782
98	426	776
99	431	771
100	435	767
101	439	763
102	444	759
103	448	755
104	453	751
105	457	746
106	461	741
107	465	737
108	470	733
109	474	728
110	478	724
111	483	720
112	487	715
113	491	711
114	496	707
115	500	702
116	504	698
117	508	694
118	513	689
119	517	685
120	521	680
121	525	676
122	529	672
123	533	667
124	537	662
125	542	658
126	546	654
127	551	650
128	554	644
129	558	640
130	563	636
131	567	631
132	570	626
133	575	622
134	579	618
135	584	614
136	588	610
137	592	605
138	597	602
139	601	597
140	605	592
141	609	587
142	613	583
143	618	579
144	622	575
145	626	570
146	630	566
147	634	561
148	638	557
149	643	553
150	647	549
151	652	545
152	655	540
153	659	535
154	664	531
155	669	527
156	673	523
157	677	519
158	681	514
159	686	510
160	690	506
161	694	501
162	697	496
163	701	491
164	705	487
165	708	482
166	712	477
167	716	473
168	720	468
169	724	464
170	728	460
171	732	455
172	735	450
173	739	446
174	743	441
175	746	437
176	750	432
177	753	427
178	756	422
179	760	418
180	764	413
181	767	409
182	770	404
183	773	399
184	777	394
185	780	390
186	783	385
187	786	380
188	789	375
189	793	371
190	797	367
191	800	362
192	805	358
193	808	354
194	812	350
195	816	345
196	820	341
197	822	336
198	826	332
199	829	327
200	833	323
201	836	318
202	839	314
203	842	309
204	845	305
205	849	300
206	852	296
207	855	292
208	859	287
209	863	283
210	866	279
211	869	274
212	873	270
213	876	266
214	880	262
215	883	257
216	886	253
217	890	249
218	893	244
219	897	240
220	900	236
221	903	232
222	907	227
223	910	223
224	914	219
225	917	215
226	921	211
227	925	207
228	930	203
229	933	198
230	936	194
231	940	190
232	943	186
233	947	182
234	950	177
235	953	173
236	957	169
237	960	165
238	964	161
239	967	157
240	970	153
241	974	148
242	977	144
243	981	140
244	984	136
245	987	132
246	991	128
247	994	124
248	998	120
249	1002	116
250	1006	112
251	1010	108
252	1014	104
253	1017	100
254	1020	96
255	1024	92
256	1027	87
257	1031	83
258	1034	79
259	1037	75
260	1041	71
261	1045	67
262	1048	63
263	1051	59
264	1055	55
265	1058	51
266	1061	47
267	1065	43
268	1068	39
269	1072	35
270	1075	31
271	1079	27
272	1082	23
273	1086	19
274	1090	15
275	1096	11
276	1100	7
277	1104	3
278	1109	0
